BlockAddress_AB,Lat_AB,Long_AB,,Lat_C,Long_C
"300 block avery av, Syracuse, NY",43.047837,-76.191065,,43.070383,-76.168065
"300 block herkimer st, Syracuse, NY",43.053855,-76.190728,,43.071588,-76.16766
"300 block cayuga st, Syracuse, NY",43.05017,-76.190663,,43.065432,-76.167912
"100 block archer rd, Syracuse, NY",43.030212,-76.190488,,43.062891,-76.16373
"200 block avery av, Syracuse, NY",43.046268,-76.190417,,43.063737,-76.162995
"600 block hamilton st, Syracuse, NY",43.049342,-76.190342,,43.063944,-76.160885
"1900 block glenwood av, Syracuse, NY",43.027842,-76.190216,,43.065015,-76.162532
"100 block lewis st, Syracuse, NY",43.056163,-76.190155,,43.065329,-76.162056
"200 block herkimer st, Syracuse, NY",43.054377,-76.190065,,43.063563,-76.159457
"200 block erie st, Syracuse, NY",43.052879,-76.190047,,43.063148,-76.159655
"700 block milton av, Syracuse, NY",43.052896,-76.190034,,43.062103,-76.164005
"400 block willis av, Syracuse, NY",43.049227,-76.189978,,43.062796,-76.16621
"100 block pharis st, Syracuse, NY",43.054248,-76.189761,,43.061173,-76.165606
"0 block kingsley pl, Syracuse, NY",43.056283,-76.189659,,43.06028,-76.167249
"800 block emerson av, Syracuse, NY",43.057198,-76.189639,,43.060281,-76.170586
"100 block avery av, Syracuse, NY",43.045059,-76.189556,,43.06202,-76.173185
"600 block schuyler st, Syracuse, NY",43.048233,-76.189304,,43.060897,-76.173843
"100 block herkimer st, Syracuse, NY",43.054812,-76.188956,,43.059692,-76.176339
"600 block ulster st, Syracuse, NY",43.047048,-76.188769,,43.061021,-76.180034
"700 block emerson av, Syracuse, NY",43.054742,-76.188348,,43.060586,-76.183176
"200 block austin av, Syracuse, NY",43.028225,-76.188176,,43.060093,-76.185521
"500 block hamilton st, Syracuse, NY",43.049951,-76.187983,,43.058033,-76.178743
"600 block tompkins st, Syracuse, NY",43.045945,-76.187978,,43.058965,-76.182498
"500 block emerson av, Syracuse, NY",43.05252,-76.187817,,43.059466,-76.185238
"400 block velasko rd, Syracuse, NY",43.032969,-76.187617,,43.06101,-76.188598
"300 block overlook dr, Syracuse, NY",43.029448,-76.187486,,43.060342,-76.191217
"500 block bryant av, Syracuse, NY",43.044309,-76.187333,,43.062841,-76.194122
"2000 block bellevue av, Syracuse, NY",43.03219,-76.187124,,43.06384,-76.194082
"500 block whittier av, Syracuse, NY",43.043592,-76.186958,,43.063262,-76.192583
"100 block harbor st, Syracuse, NY",43.055555,-76.186774,,43.058219,-76.172719
"500 block ulster st, Syracuse, NY",43.047761,-76.186443,,43.059136,-76.171211
"200 block milton av, Syracuse, NY",43.04778,-76.186432,,43.058462,-76.183358
"100 block ethel st, Syracuse, NY",43.028454,-76.186007,,43.058324,-76.186387
"400 block hamilton st, Syracuse, NY",43.050788,-76.185747,,43.057232,-76.176282
"400 block bryant av, Syracuse, NY",43.044744,-76.185666,,43.056911,-76.174541
"400 block emerson av, Syracuse, NY",43.05108,-76.185613,,43.05787,-76.173995
"500 block tompkins st, Syracuse, NY",43.046552,-76.185591,,43.056812,-76.17203
"100 block burnet park dr, Syracuse, NY",43.046552,-76.185565,,43.05784,-76.171287
"500 block tennyson av, Syracuse, NY",43.045664,-76.185536,,43.058127,-76.169762
"400 block tennyson av, Syracuse, NY",43.045682,-76.185489,,43.059233,-76.168599
"1900 block bellevue av, Syracuse, NY",43.032487,-76.185325,,43.057832,-76.166908
"1500 block glenwood av, Syracuse, NY",43.025875,-76.185322,,43.058101,-76.164708
"400 block whittier av, Syracuse, NY",43.044281,-76.185068,,43.059043,-76.162736
"300 block hamilton st, Syracuse, NY",43.051304,-76.184415,,43.059891,-76.161129
"100 block upland rd, Syracuse, NY",43.032041,-76.184341,,43.060961,-76.160788
"0 block burnet park dr, Syracuse, NY",43.041004,-76.184283,,43.061269,-76.159547
"400 block ulster st, Syracuse, NY",43.048597,-76.184224,,43.061373,-76.157831
"300 block schuyler st, Syracuse, NY",43.050333,-76.183726,,43.06188,-76.157681
"300 block tennyson av, Syracuse, NY",43.046675,-76.183426,,43.056323,-76.154367
"400 block tompkins st, Syracuse, NY",43.04739,-76.183367,,43.055985,-76.155132
"300 block bryant av, Syracuse, NY",43.045785,-76.183221,,43.058172,-76.155197
"1300 block stolp av, Syracuse, NY",43.030003,-76.183105,,43.060069,-76.156506
"500 block wolcott av, Syracuse, NY",43.028035,-76.182973,,43.059579,-76.158255
"1800 block bellevue av, Syracuse, NY",43.032728,-76.182696,,43.056243,-76.164562
"300 block whittier av, Syracuse, NY",43.045237,-76.182624,,43.057284,-76.163661
"100 block depalma av, Syracuse, NY",43.038099,-76.18257,,43.058199,-76.16197
"200 block ulster st, Syracuse, NY",43.04979,-76.181831,,43.058623,-76.160124
"1700 block bellevue av, Syracuse, NY",43.03261,-76.181764,,43.05775,-76.16071
"100 block reed av, Syracuse, NY",43.032582,-76.181754,,43.058522,-76.157313
"200 block reed av, Syracuse, NY",43.02984,-76.181579,,43.05732,-76.15668
"200 block tennyson av, Syracuse, NY",43.047316,-76.181164,,43.05611,-76.167035
"1300 block erie blvd w, Syracuse, NY",43.051609,-76.181139,,43.056591,-76.168392
"100 block holden st, Syracuse, NY",43.038404,-76.181037,,43.057251,-76.169677
"100 block crysler st, Syracuse, NY",43.048284,-76.181004,,43.057228,-76.167859
"1600 block bellevue av, Syracuse, NY",43.032842,-76.180923,,43.056058,-76.169099
"200 block bryant av, Syracuse, NY",43.046632,-76.18069,,43.056204,-76.171882
"900 block hiawatha blvd w, Syracuse, NY",43.059008,-76.180662,,43.055974,-76.172172
"200 block tompkins st, Syracuse, NY",43.048759,-76.180381,,43.056256,-76.175273
"200 block coleridge av, Syracuse, NY",43.045544,-76.179934,,43.056821,-76.17717
"200 block hoefler st, Syracuse, NY",43.036216,-76.17988,,43.057067,-76.179142
"500 block grand av, Syracuse, NY",43.038596,-76.179875,,43.055791,-76.157106
"100 block hancock dr, Syracuse, NY",43.026705,-76.179672,,43.056719,-76.159636
"100 block markland av, Syracuse, NY",43.032679,-76.179657,,43.056244,-76.161567
"0 block park and lakeview av, Syracuse, NY",43.052352,-76.179626,,43.056424,-76.162952
"1500 block bellevue av, Syracuse, NY",43.032887,-76.17962,,43.055114,-76.159777
"100 block dewey av, Syracuse, NY",43.053965,-76.179613,,43.05523,-76.158365
"100 block loehr av, Syracuse, NY",43.034691,-76.179568,,43.054643,-76.155545
"100 block tennyson av, Syracuse, NY",43.048029,-76.179509,,43.054369,-76.154249
"800 block hiawatha blvd w, Syracuse, NY",43.060795,-76.179088,,43.055096,-76.153885
"200 block duane st, Syracuse, NY",43.031617,-76.178743,,43.055595,-76.154124
"300 block hartson st, Syracuse, NY",43.036628,-76.178668,,43.072428,-76.171738
"500 block rowland st, Syracuse, NY",43.035916,-76.17861,,43.055525,-76.164477
"100 block duane st, Syracuse, NY",43.032723,-76.178451,,43.05585,-76.168106
"1100 block erie blvd w, Syracuse, NY",43.049702,-76.178299,,43.054633,-76.152931
"200 block lakeview av, Syracuse, NY",43.05031,-76.177656,,43.053893,-76.151893
"100 block herriman st, Syracuse, NY",43.038559,-76.177506,,43.075475,-76.171598
"300 block arthur st, Syracuse, NY",43.034776,-76.177484,,43.06824,-76.169755
"100 block nelson st, Syracuse, NY",43.047414,-76.177299,,43.069136,-76.173017
"200 block herriman st, Syracuse, NY",43.037845,-76.177168,,43.072639,-76.17296
"400 block arthur st, Syracuse, NY",43.033858,-76.177095,,43.0776,-76.17111
"1300 block bellevue av, Syracuse, NY",43.032783,-76.177049,,43.081547,-76.157418
"100 block syracuse st, Syracuse, NY",43.048165,-76.17702,,43.0801,-76.158551
"400 block grant av, Syracuse, NY",43.031816,-76.176971,,43.079728,-76.157248
"600 block richmond av, Syracuse, NY",43.050476,-76.17654,,43.080768,-76.15598
"300 block apple st, Syracuse, NY",43.051187,-76.17646,,43.078893,-76.159476
"300 block eureka st, Syracuse, NY",43.055517,-76.176447,,43.07782,-76.160272
"900 block park av, Syracuse, NY",43.052196,-76.176292,,43.077503,-76.158512
"200 block cadwell st, Syracuse, NY",43.038366,-76.176146,,43.078405,-76.15783
"200 block carlton rd, Syracuse, NY",43.022605,-76.175911,,43.079439,-76.156478
"900 block glenwood av, Syracuse, NY",43.019843,-76.175792,,43.079871,-76.155066
"400 block fitch st, Syracuse, NY",43.037888,-76.175581,,43.078786,-76.154147
"300 block grant av, Syracuse, NY",43.031868,-76.175375,,43.078057,-76.152316
"100 block eureka st, Syracuse, NY",43.05349,-76.175374,,43.077519,-76.151263
"600 block hiawatha blvd w, Syracuse, NY",43.064169,-76.17534,,43.076967,-76.150213
"200 block apple st, Syracuse, NY",43.051157,-76.175301,,43.076505,-76.150801
"700 block stolp av, Syracuse, NY",43.030068,-76.175231,,43.076877,-76.151726
"1200 block bellevue av, Syracuse, NY",43.032851,-76.17523,,43.076597,-76.15232
"200 block arden dr, Syracuse, NY",43.021648,-76.17468,,43.077281,-76.152752
"200 block magnolia st, Syracuse, NY",43.04445,-76.17453,,43.077718,-76.155312
"400 block elliott st, Syracuse, NY",43.035033,-76.174382,,43.076888,-76.157174
"100 block lakeview av, Syracuse, NY",43.049319,-76.174292,,43.076906,-76.158959
"500 block richmond av, Syracuse, NY",43.050245,-76.174238,,43.075998,-76.159633
"100 block stinard av, Syracuse, NY",43.032885,-76.174136,,43.076616,-76.161172
"300 block rowland st, Syracuse, NY",43.035958,-76.174022,,43.075414,-76.162066
"400 block stinard av, Syracuse, NY",43.030104,-76.173964,,43.074791,-76.160533
"200 block grand av, Syracuse, NY",43.039653,-76.173917,,43.074159,-76.158962
"500 block stinard av, Syracuse, NY",43.029081,-76.173873,,43.075364,-76.158064
"100 block hartson st, Syracuse, NY",43.03688,-76.173813,,43.076456,-76.15611
"700 block stinard av, Syracuse, NY",43.025573,-76.17362,,43.076082,-76.155159
"900 block erie blvd w, Syracuse, NY",43.048318,-76.173336,,43.076003,-76.153216
"300 block fitch st, Syracuse, NY",43.037972,-76.173209,,43.075352,-76.154158
"100 block fenton st, Syracuse, NY",43.039298,-76.173169,,43.074733,-76.154205
"100 block grant av, Syracuse, NY",43.031934,-76.173096,,43.07412,-76.15497
"100 block wall st, Syracuse, NY",43.048402,-76.173086,,43.074739,-76.156516
"400 block richmond av, Syracuse, NY",43.050214,-76.173022,,43.073534,-76.157412
"200 block wall st, Syracuse, NY",43.050232,-76.173009,,43.072919,-76.155862
"1100 block bellevue av, Syracuse, NY",43.033134,-76.172908,,43.071715,-76.15676
"300 block pulaski st, Syracuse, NY",43.059449,-76.172638,,43.072334,-76.158308
"400 block bradley st, Syracuse, NY",43.034019,-76.172507,,43.072958,-76.159851
"100 block roberts av, Syracuse, NY",43.032514,-76.172392,,43.073595,-76.161418
"100 block grand av, Syracuse, NY",43.040826,-76.172342,,43.074219,-76.162964
"800 block spencer st, Syracuse, NY",43.057531,-76.17234,,43.07304,-76.163835
"200 block rowland st, Syracuse, NY",43.035543,-76.17224,,43.070535,-76.15764
"400 block roberts av, Syracuse, NY",43.029018,-76.172109,,43.071156,-76.159192
"300 block putnam st, Syracuse, NY",43.036564,-76.172085,,43.071782,-76.160735
"200 block roberts dr, Syracuse, NY",43.031488,-76.171992,,43.072423,-76.162297
"500 block stolp av, Syracuse, NY",43.030184,-76.171907,,43.071884,-76.164723
"200 block gordon av, Syracuse, NY",43.029168,-76.171847,,43.071389,-76.163544
"500 block crossett st, Syracuse, NY",43.027913,-76.171735,,43.071352,-76.16259
"600 block seymour st, Syracuse, NY",43.041912,-76.17167,,43.071035,-76.161809
"800 block erie blvd w, Syracuse, NY",43.048397,-76.171649,,43.070473,-76.161241
"200 block pulaski st, Syracuse, NY",43.058751,-76.171599,,43.070011,-76.160045
"100 block harborside dr, Syracuse, NY",43.074347,-76.171504,,43.069385,-76.158495
"200 block strathmore dr, Syracuse, NY",43.022664,-76.171294,,43.068513,-76.159144
"200 block robineau rd, Syracuse, NY",43.025483,-76.171281,,43.06886,-76.160905
"0 block destiny usa dr, Syracuse, NY",43.071796,-76.171174,,43.069372,-76.162416
"400 block robineau rd, Syracuse, NY",43.020917,-76.170906,,43.070371,-76.162799
"800 block vanrensselaer st, Syracuse, NY",43.062174,-76.170898,,43.070078,-76.164179
"300 block hiawatha blvd w, Syracuse, NY",43.068402,-76.170818,,43.070658,-76.165378
"200 block hubbell av, Syracuse, NY",43.031422,-76.170802,,43.070981,-76.166281
"300 block richmond av, Syracuse, NY",43.050143,-76.170733,,43.067937,-76.159576
"400 block stolp av, Syracuse, NY",43.030525,-76.170694,,43.081516,-76.141478
"700 block park av, Syracuse, NY",43.051966,-76.17062,,43.082542,-76.143854
"700 block glenwood av, Syracuse, NY",43.019662,-76.170557,,43.082489,-76.14514
"500 block robeneau rd, Syracuse, NY",43.019641,-76.170543,,43.0806,-76.144128
"100 block gordon av, Syracuse, NY",43.02922,-76.170389,,43.081657,-76.144125
"400 block merriman av, Syracuse, NY",43.040342,-76.1701,,43.081687,-76.145694
"1000 block bellevue av, Syracuse, NY",43.033246,-76.170089,,43.081161,-76.146386
"400 block dudley st, Syracuse, NY",43.035032,-76.170006,,43.08011,-76.144871
"500 block dudley st, Syracuse, NY",43.034116,-76.169966,,43.079937,-76.14672
"200 block barrett st, Syracuse, NY",43.039201,-76.169802,,43.079172,-76.147895
"200 block putnam st, Syracuse, NY",43.035427,-76.169777,,43.078571,-76.148784
"100 block wellesley rd, Syracuse, NY",43.02248,-76.169556,,43.077974,-76.1497
"200 block fitch st, Syracuse, NY",43.036591,-76.169451,,43.083894,-76.145818
"500 block delaware st, Syracuse, NY",43.037407,-76.169417,,43.084153,-76.147597
"100 block strathmore dr, Syracuse, NY",43.023301,-76.1694,,43.083549,-76.149975
"0 block delaware st, Syracuse, NY",43.03739,-76.169385,,43.081884,-76.153052
"100 block clairmonte av, Syracuse, NY",43.033047,-76.169381,,43.082218,-76.148318
"0 block walsh cir, Syracuse, NY",43.076511,-76.169279,,43.083326,-76.146452
"300 block clairmonte av, Syracuse, NY",43.030258,-76.16919,,43.080673,-76.151665
"100 block dudley st, Syracuse, NY",43.036782,-76.169143,,43.081006,-76.149984
"0 block wellesley rd, Syracuse, NY",43.019773,-76.169107,,43.079934,-76.150566
"100 block hunter av, Syracuse, NY",43.056365,-76.169034,,43.079524,-76.152062
"0 block bear st, Syracuse, NY",43.070021,-76.169032,,43.080629,-76.154001
"300 block crossett st, Syracuse, NY",43.027939,-76.169025,,43.076073,-76.129845
"500 block lynch av, Syracuse, NY",43.01454,-76.168971,,43.076138,-76.133894
"100 block elliott st, Syracuse, NY",43.035088,-76.168917,,43.074327,-76.133739
"200 block hiawatha blvd w, Syracuse, NY",43.069079,-76.168647,,43.077958,-76.134042
"700 block marcellus st, Syracuse, NY",43.04534,-76.168525,,43.079018,-76.13504
"2100 block park st, Syracuse, NY",43.072686,-76.168349,,43.07776,-76.13599
"400 block delaware st, Syracuse, NY",43.036896,-76.168298,,43.079153,-76.13773
"4900 block broad rd, Syracuse, NY",43.007873,-76.168031,,43.080676,-76.139868
"100 block russell pl, Syracuse, NY",43.01589,-76.167864,,43.081688,-76.139207
"100 block edison st, Syracuse, NY",43.055559,-76.167803,,43.081026,-76.13829
"0 block fayette st, Syracuse, NY",43.0466,-76.167766,,43.080456,-76.137482
"200 block massena st, Syracuse, NY",43.040098,-76.167701,,43.079674,-76.137034
"500 block seymour st, Syracuse, NY",43.042372,-76.167587,,43.077497,-76.13799
"300 block merriman av, Syracuse, NY",43.040237,-76.167415,,43.078668,-76.138425
"100 block davis st, Syracuse, NY",43.039338,-76.167334,,43.08018,-76.140626
"300 block sand st, Syracuse, NY",43.056251,-76.167311,,43.079683,-76.1414
"700 block van rensselaer st, Syracuse, NY",43.060189,-76.167225,,43.079148,-76.142195
"700 block vanrensselear st, Syracuse, NY",43.060189,-76.167225,,43.078629,-76.143014
"100 block putnam st, Syracuse, NY",43.034412,-76.167153,,43.078115,-76.143799
"300 block delaware st, Syracuse, NY",43.036458,-76.16715,,43.075616,-76.135833
"200 block seneca st, Syracuse, NY",43.045554,-76.167077,,43.075487,-76.134712
"300 block arlington av, Syracuse, NY",43.021132,-76.167073,,43.073603,-76.135691
"900 block bellevue av, Syracuse, NY",43.033315,-76.166983,,43.077835,-76.140669
"600 block gifford st, Syracuse, NY",43.043264,-76.166972,,43.07837,-76.139461
"200 block sabine st, Syracuse, NY",43.039287,-76.166932,,43.07698,-76.141042
"700 block erie blvd w, Syracuse, NY",43.048826,-76.166924,,43.073545,-76.136769
"300 block lynch av, Syracuse, NY",43.014844,-76.166894,,43.073499,-76.137699
"200 block arlington av, Syracuse, NY",43.022706,-76.166888,,43.073456,-76.138626
"400 block shonnard st, Syracuse, NY",43.041507,-76.166714,,43.073754,-76.140559
"600 block otisco st, Syracuse, NY",43.044795,-76.166442,,43.073493,-76.141882
"400 block wilkinson st, Syracuse, NY",43.051158,-76.166441,,43.073438,-76.144284
"300 block seneca st, Syracuse, NY",43.04479,-76.166421,,43.074681,-76.147396
"600 block park av, Syracuse, NY",43.052323,-76.166371,,43.076182,-76.149115
"100 block van rensselaer st, Syracuse, NY",43.049231,-76.166243,,43.075048,-76.150988
"500 block solar st, Syracuse, NY",43.064266,-76.166241,,43.072465,-76.142382
"100 block richmond av, Syracuse, NY",43.049993,-76.166231,,43.073201,-76.139633
"100 block sabine st, Syracuse, NY",43.0401,-76.166101,,43.076478,-76.137196
"700 block tully st, Syracuse, NY",43.043844,-76.166024,,43.076404,-76.138642
"2000 block park st, Syracuse, NY",43.072102,-76.165997,,43.076144,-76.141004
"300 block glenwood av, Syracuse, NY",43.020106,-76.165737,,43.076062,-76.143111
"300 block kellogg st, Syracuse, NY",43.037869,-76.165731,,43.076343,-76.144952
"100 block wolf st, Syracuse, NY",43.06882,-76.165731,,43.077552,-76.144671
"200 block hutchinson av, Syracuse, NY",43.016212,-76.165649,,43.075298,-76.140934
"200 block hiawatha blvd e, Syracuse, NY",43.071729,-76.165605,,43.075206,-76.137817
"600 block tully st, Syracuse, NY",43.044538,-76.165412,,43.075457,-76.145454
"100 block armstrong pl, Syracuse, NY",43.013941,-76.165287,,43.064986,-76.154108
"2400 block south av, Syracuse, NY",43.013928,-76.165273,,43.065184,-76.155904
"2400 block south ave, Syracuse, NY",43.013928,-76.165273,,43.065842,-76.156814
"200 block wolf st, Syracuse, NY",43.069862,-76.165249,,43.066711,-76.158092
"500 block marcellus st, Syracuse, NY",43.046139,-76.165238,,43.066337,-76.158826
"200 block onondaga av, Syracuse, NY",43.033004,-76.16517,,43.067012,-76.160032
"300 block oswego st, Syracuse, NY",43.045188,-76.164797,,43.067328,-76.160812
"100 block delaware st, Syracuse, NY",43.035517,-76.164673,,43.067709,-76.161763
"300 block onondaga av, Syracuse, NY",43.031589,-76.164642,,43.068329,-76.163311
"400 block oswego st, Syracuse, NY",43.044147,-76.16461,,43.068963,-76.164877
"2700 block lodi st, Syracuse, NY",43.068403,-76.164586,,43.069624,-76.166247
"500 block park av, Syracuse, NY",43.052358,-76.164583,,43.070141,-76.167203
"200 block lemoyne av, Syracuse, NY",43.068089,-76.164526,,43.068126,-76.165825
"100 block onondaga av, Syracuse, NY",43.035431,-76.164366,,43.067815,-76.166143
"300 block wilkinson st, Syracuse, NY",43.050867,-76.164353,,43.06562,-76.16207
"0 block onondaga av, Syracuse, NY",43.029912,-76.164333,,43.066194,-76.162585
"400 block onondaga av, Syracuse, NY",43.029907,-76.164331,,43.066787,-76.162444
"300 block hiawatha blvd, Syracuse, NY",43.073055,-76.164315,,43.067645,-76.164176
"500 block gifford st, Syracuse, NY",43.04337,-76.164246,,43.065447,-76.159436
"400 block seymour st, Syracuse, NY",43.042252,-76.164189,,43.066135,-76.160922
"200 block merriman av, Syracuse, NY",43.040609,-76.164155,,43.065544,-76.161352
"700 block oswego st, Syracuse, NY",43.04112,-76.164146,,43.064394,-76.159415
"100 block tioga st, Syracuse, NY",43.047504,-76.163991,,43.064467,-76.159899
"0 block seymour st, Syracuse, NY",43.042263,-76.16398,,43.061311,-76.156252
"600 block oswego st, Syracuse, NY",43.042254,-76.163979,,43.06139,-76.155606
"0 block shonnard st, Syracuse, NY",43.041362,-76.163902,,43.062535,-76.156859
"300 block coolidge av, Syracuse, NY",43.031509,-76.163824,,43.063787,-76.157963
"100 block grace st, Syracuse, NY",43.040373,-76.163814,,43.06468,-76.158384
"100 block coolidge av, Syracuse, NY",43.035455,-76.163724,,43.064763,-76.157588
"300 block lemoyne av, Syracuse, NY",43.069236,-76.163682,,43.065536,-76.157636
"400 block spencer st, Syracuse, NY",43.058073,-76.163602,,43.06424,-76.154269
"400 block otisco st, Syracuse, NY",43.045758,-76.163412,,43.063721,-76.155
"200 block kellogg st, Syracuse, NY",43.039605,-76.163356,,43.064537,-76.156117
"400 block wolf st, Syracuse, NY",43.072235,-76.163238,,43.064166,-76.156759
"600 block erie blvd w, Syracuse, NY",43.049425,-76.163233,,43.063293,-76.156191
"100 block leavenworth av, Syracuse, NY",43.04956,-76.163226,,43.065527,-76.158617
"300 block tioga st, Syracuse, NY",43.045595,-76.163137,,43.063364,-76.153572
"100 block commonwealth av, Syracuse, NY",43.071068,-76.163114,,43.062619,-76.153953
"2600 block lodi st, Syracuse, NY",43.067446,-76.162975,,43.062779,-76.152874
"200 block congress av, Syracuse, NY",43.039562,-76.162964,,43.06185,-76.151784
"200 block parkway dr, Syracuse, NY",43.024513,-76.162931,,43.061784,-76.150724
"100 block charmouth dr, Syracuse, NY",43.021462,-76.162868,,43.060998,-76.149762
"200 block glenwood av, Syracuse, NY",43.019827,-76.162814,,43.060677,-76.150824
"300 block craddock st, Syracuse, NY",43.020715,-76.16277,,43.060164,-76.152017
"100 block annetta st, Syracuse, NY",43.022088,-76.162694,,43.061515,-76.152659
"1600 block spring st, Syracuse, NY",43.073329,-76.162667,,43.061261,-76.153282
"400 block craddock st, Syracuse, NY",43.020493,-76.162651,,43.060988,-76.153924
"500 block wolf st, Syracuse, NY",43.073335,-76.162643,,43.062079,-76.155221
"100 block eloise ter, Syracuse, NY",43.026109,-76.16261,,43.060729,-76.154564
"600 block bellevue av, Syracuse, NY",43.033534,-76.162594,,43.059732,-76.154589
"0 block schoeneck ct, Syracuse, NY",43.045767,-76.16241,,43.056657,-76.153643
"600 block hiawatha blvd, Syracuse, NY",43.076304,-76.162388,,43.057761,-76.153382
"100 block parkview av, Syracuse, NY",43.026593,-76.162365,,43.058452,-76.152531
"500 block fabius st, Syracuse, NY",43.043816,-76.162362,,43.05964,-76.15326
"400 block sterling av, Syracuse, NY",43.031713,-76.162342,,43.058951,-76.151047
"100 block schoeneck av, Syracuse, NY",43.045552,-76.162324,,43.059334,-76.150145
"200 block washington sq, Syracuse, NY",43.071096,-76.162308,,43.059583,-76.149553
"300 block marcellus st, Syracuse, NY",43.047082,-76.162251,,43.059984,-76.148482
"100 block centennial dr, Syracuse, NY",43.026528,-76.162247,,43.057078,-76.153073
"200 block holland st, Syracuse, NY",43.038893,-76.16214,,43.05831,-76.151736
"300 block otisco st, Syracuse, NY",43.045809,-76.162107,,43.071673,-76.148689
"300 block bear st, Syracuse, NY",43.068606,-76.162105,,43.072178,-76.150492
"400 block sunset av, Syracuse, NY",43.066331,-76.16205,,43.07319,-76.15143
