,X,LandUse,Total.Taxes.Owed,Num.Open.Violations,AssessedValue,VacantBuilding,ZIP,WaterService,YearBuilt,newaddress,Total_crimes,Occupied_Pr,Vacant_Pr,H_.1.3.P,H.4..P,Owner_Occupied,VacancyStatus_A
125,125,Three Family,0,0,Moderate,N,Syracuse,A,Very Old,121 avery av,1,0.974,0.026,0.872,0.103,0.974,0
126,126,Single Family,0,0,Cheap,N,Syracuse,A,Old,106 avery av,1,0.974,0.026,0.872,0.103,0.974,0
127,127,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,111 avery av,1,0.974,0.026,0.872,0.103,0.974,0
128,128,Single Family,0,0,Cheap,N,Syracuse,A,Old,108 avery av,1,0.974,0.026,0.872,0.103,0.974,0
129,129,Two Family,0,0,Moderate,N,Syracuse,A,Old,120 avery av,1,0.974,0.026,0.872,0.103,0.974,0
130,130,Two Family,0,0,Moderate,N,Syracuse,A,Old,119 avery av,1,0.974,0.026,0.872,0.103,0.974,0
131,131,Single Family,0,0,Cheap,N,Syracuse,I,New,107 avery av,1,0.974,0.026,0.872,0.103,0.974,0
132,132,Single Family,0,0,Moderate,N,Syracuse,A,Old,116 avery av,1,0.974,0.026,0.872,0.103,0.974,0
133,133,Single Family,0,0,Moderate,N,Syracuse,A,Old,137 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
134,134,Single Family,0,0,Cheap,N,Syracuse,A,Old,151 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
135,135,Single Family,0,6,Cheap,Y,Outside NY,I,Old,133 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
136,136,Single Family,0,0,Cheap,N,Syracuse,A,Old,121 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
137,137,Single Family,0,0,Cheap,N,Syracuse,A,Old,161 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
138,138,Single Family,0,0,Cheap,N,Syracuse,A,Old,125 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
139,139,Single Family,0,0,Moderate,N,Syracuse,A,Old,157 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
140,140,Single Family,0,0,Cheap,N,Syracuse,A,Old,141 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
141,141,Single Family,0,0,Cheap,N,Syracuse,A,Old,117 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
142,142,Single Family,0,0,Cheap,N,Syracuse,A,Old,145 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
143,143,Single Family,0,0,Cheap,N,Syracuse,A,Old,127 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
144,144,Single Family,0,0,Cheap,N,Syracuse,A,Old,113 avon rd,1,0.931,0.069,0.793,0.138,0.815,0.25
145,145,Vacant Land,138866.72,0,Cheap,N,Syracuse,unknown,New,128 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
146,146,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,185 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
147,147,Two Family,32121.52,0,Cheap,N,Syracuse,A,Very Old,113 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
148,148,Single Family,458.69,0,Cheap,N,Syracuse,A,Very Old,160 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
149,149,Single Family,2067.06,0,Cheap,Y,Outside NY,I,Old,173 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
150,150,Single Family,0,0,Cheap,N,Syracuse,A,Old,181 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
151,151,Single Family,2231.73,0,Cheap,N,Syracuse,A,Old,119 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
152,152,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,142 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
153,153,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,130 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
154,154,Single Family,0,0,Cheap,N,Syracuse,A,Old,158 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
155,155,Single Family,43659.85,3,Cheap,N,Syracuse,A,Old,123 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
156,156,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,152 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
157,157,Single Family,0,0,Cheap,N,Syracuse,I,Very Old,167 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
158,158,Single Family,0,0,Cheap,N,Syracuse,A,Old,157 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
159,159,Single Family,0,0,Cheap,N,Syracuse,A,Old,163 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
160,160,Single Family,0,2,Cheap,N,Syracuse,A,Old,168 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
161,161,Single Family,3939.1,0,Cheap,N,Syracuse,A,Old,118 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
162,162,Single Family,0,0,Cheap,N,Syracuse,A,Old,179 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
163,163,Single Family,5283.27,0,Cheap,Y,Syracuse,I,Old,110 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
164,164,Single Family,0,0,Cheap,N,Syracuse,A,Old,131 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
165,165,Single Family,291.44,3,Cheap,Y,Syracuse,A,Old,164 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
166,166,Single Family,0,0,Cheap,N,Syracuse,A,Old,137 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
167,167,Single Family,0,3,Cheap,Y,Syracuse,I,Very Old,136 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
168,168,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,124 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
169,169,Single Family,0,0,Cheap,N,Syracuse,A,Old,153 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
170,170,Single Family,0,0,Cheap,N,Syracuse,A,Old,116 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
171,171,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,143 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
172,172,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,146 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
173,173,Single Family,0,0,Cheap,N,Syracuse,A,Old,127 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
174,174,Single Family,0,0,Cheap,N,Syracuse,A,Old,177 baldwin av,1,0.939,0.061,0.694,0.245,0.348,0
175,175,Vacant Land,344.1,0,Cheap,N,Syracuse,unknown,New,112 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
176,176,Vacant Land,20779.53,0,Cheap,N,Syracuse,unknown,New,110 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
177,177,Single Family,0,0,Cheap,N,Syracuse,A,Old,105 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
178,178,Two Family,0,0,Cheap,N,Syracuse,A,Old,109 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
179,179,Single Family,0,0,Cheap,N,Syracuse,A,New,100 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
180,180,Single Family,0,2,Cheap,N,"Outside Syr, In NY",I,Old,108 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
181,181,Single Family,0,0,Cheap,N,Syracuse,A,New,106 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
182,182,Vacant Land,139200.69,0,Cheap,N,Syracuse,unknown,Old,103 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
183,183,Single Family,0,0,Cheap,N,Syracuse,A,New,102 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
184,184,Three Family,413.25,12,Cheap,N,Syracuse,A,Old,114 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
185,185,Vacant Land,167921.3,0,Cheap,N,Syracuse,unknown,Old,107 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
186,186,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,101 ballard av,2,0.895,0.105,0.605,0.289,0.412,0.125
187,187,Single Family,0,0,Cheap,N,Outside NY,A,Old,142 beattie st,3,1,0,1,0,0.667,0.510766243
188,188,Single Family,0,0,Cheap,N,Syracuse,A,Old,148 beattie st,3,1,0,1,0,0.667,1
189,189,Single Family,0,0,Cheap,N,Syracuse,A,Old,174 beattie st,3,1,0,1,0,0.667,1
190,190,Religious,0,0,Moderate,N,Syracuse,A,Old,149 beattie st,3,1,0,1,0,0.667,1
191,191,Single Family,0,0,Cheap,N,Syracuse,A,Old,152 beattie st,3,1,0,1,0,0.667,1
192,192,Commercial,0,0,Moderate,N,Syracuse,A,Old,136 beattie st,3,1,0,1,0,0.667,0
193,193,Single Family,0,0,Cheap,N,Outside NY,I,Old,158 beattie st,3,1,0,1,0,0.667,0.461597156
194,194,Single Family,0,0,Cheap,N,Syracuse,A,Old,170 beattie st,3,1,0,1,0,0.667,1
195,195,Single Family,0,0,Cheap,N,Syracuse,A,Old,164 beattie st,3,1,0,1,0,0.667,1
196,196,Single Family,0,0,Cheap,N,Syracuse,A,Old,112 becker st,2,0.887,0.113,0.736,0.151,0.468,0
197,197,Single Family,0,0,Cheap,N,Syracuse,A,Old,113 becker st,2,0.887,0.113,0.736,0.151,0.468,0
198,198,Single Family,0,0,Cheap,N,Syracuse,A,Old,120 becker st,2,0.887,0.113,0.736,0.151,0.468,0
199,199,Single Family,0,0,Cheap,N,Syracuse,A,Old,105 becker st,2,0.887,0.113,0.736,0.151,0.468,0
200,200,Single Family,0,0,Cheap,N,Syracuse,A,Old,111 becker st,2,0.887,0.113,0.736,0.151,0.468,0
201,201,Single Family,0,0,Cheap,N,Syracuse,A,Old,107 becker st,2,0.887,0.113,0.736,0.151,0.468,0
202,202,Two Family,0,0,Cheap,N,Syracuse,A,Old,103 becker st,2,0.887,0.113,0.736,0.151,0.468,0
203,203,Single Family,0,0,Cheap,N,Syracuse,A,Old,118 becker st,2,0.887,0.113,0.736,0.151,0.468,0
204,204,Single Family,0,0,Cheap,N,Syracuse,A,Old,101 becker st,2,0.887,0.113,0.736,0.151,0.468,0
205,205,Vacant Land,68350.74,0,Cheap,N,Syracuse,unknown,Old,111 beech st s,1,0.944,0.056,0.806,0.14,0.471,0
206,206,Single Family,5310.47,0,Cheap,N,Syracuse,A,Old,101 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
207,207,Single Family,0,0,Cheap,N,Syracuse,A,Old,166 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
208,208,Single Family,0,0,Cheap,N,Syracuse,A,Old,122 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
209,209,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,115 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
210,210,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,149 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
211,211,Single Family,327.37,0,Cheap,N,Syracuse,A,Old,183 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
212,212,Two Family,0,0,Cheap,N,Outside NY,A,Very Old,190 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
213,213,Single Family,0,0,Cheap,N,Syracuse,A,Old,129 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
214,214,Single Family,0,0,Cheap,N,Syracuse,I,Old,192 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
215,215,Single Family,264.14,0,Cheap,N,Syracuse,A,Very Old,116 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
216,216,Single Family,314.44,0,Cheap,N,Syracuse,A,Old,118 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
217,217,Single Family,0,0,Cheap,N,Syracuse,A,Old,152 berger av,2,0.68,0.32,0.24,0.44,0.294,0.625
